SMILES,nearest_training_tanimoto
CNCC(Nc1ncnc2c(C(N)=O)ccnc12)c1cccc(F)c1,0.7719
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccc(Cl)cc4)c3)cc12,1
Cc1cc(-c2cn(CCNC(C)(C)C)c(C3CCN(c4ncnc(N)c4C#N)CC3)n2)ccc1F,0.8493
CC(N)COc1cncc(-c2ccc3c(c2)C(=Cc2ccco2)C(=O)N3)c1,0.7761
Cn1ncc(Br)c1-c1cc(C(=O)NC2CNCCC2c2cccc(F)c2)no1,0.7222
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)nc1C1CC1,0.7246
CNC(=O)c1ccc(-n2c(-c3cccnc3N)nc3ccc(-c4ccccc4)nc32)cc1,0.7049
Cn1nccc1-c1ccnn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,0.746
O=C(NC(c1ccc(Cl)c(Cl)c1)C1CCNCC1)c1ccncc1,0.7455
Cn1ncc(Br)c1-c1cc(F)c(C(=O)NC2CNCCC2c2ccccc2)cc1Cl,0.7183
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1F,0.7667
Cn1nccc1-c1ccc(C(=O)NC2CNCC2c2cc(F)cc(F)c2)s1,0.7231
NC(COc1cncc(-c2ccc(CO)cc2)c1)Cc1c[nH]c2ccccc12,0.7097
COc1cnc(N2CCC(c3nc(-c4ccc(F)c(C)c4)cn3CC3CNC3)CC2)nc1,0.7027
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(Cl)c3)cn2CCN2CCC2)CC1,1
Cn1c(CC(=O)Nc2cccc(F)c2)nc(N2CCOCC2)cc1=O,0.7377
Cc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1F,0.7344
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(OC(F)F)ccnc21,0.75
Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncccc4C#N)CC3)n2)ccc1F,0.7105
NC1(C(=O)NCc2ccccc2)CCN(c2ncnc3[nH]ccc23)CC1,0.8333
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2cc(F)cc(Cl)c2)cc1,0.7656
O=C(NC1CNCCC1c1cccnc1)c1ccc2c(c1)OCCn1nccc1-2,0.7647
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(Br)c4)c3)cc12,1
Cn1nccc1-c1cc(F)c(C(=O)NC2CNCCC2c2ccccc2)c(F)c1,0.8167
NC(=O)CC(NC(=O)c1ccc(-c2ccncc2)cc1)c1ccccc1,0.7674
CC1COCCN1c1nc(N2CCOCC2C)c2ccc(-c3cccc(C(N)=O)c3)nc2n1,0.7627
Cn1c(CC(=O)Nc2ccc(Br)cc2F)nc(N2CCOCC2)cc1=O,0.7143
Cn1c(CC(=O)Nc2ccc(NC(=O)c3ccccc3F)cc2)nc(N2CCOCC2)cc1=O,0.7077
Cc1n[nH]c2cnc(-c3cncc(OCC(N)Cc4cccc(F)c4Cl)c3)cc12,0.8548
NCc1ccccc1CC(N)COc1cncc(-c2ccc3c(c2)CC(=O)N3)c1,0.7424
NC(CO)COc1cncc(-c2ccc3[nH]nc(-c4ccccc4)c3c2)c1,0.7097
Cn1nccc1-c1ccc(-c2cn3cc(C(=O)NC4CNCCC4c4cccc(F)c4)nc3s2)cn1,0.7013
Cc1cc(-c2cn(CCN3CCC3)c(C3CCN(c4ncnc(N)c4C#N)CC3)n2)ccn1,0.8406
Cc1[nH]nc2ccc(-c3cncc(OCC(N)Cc4cccc(F)c4)c3)cc12,0.7742
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)NC(=O)c1ccc(F)cc1F,0.7333
O=C(NC(c1ccc(Cl)c(F)c1)C1CCNCC1)c1ccncc1,0.7586
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(OC(F)F)cccc21,1
CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccc(C(N)=O)cc3-4)cc2)C1,1
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)s1,0.8667
Cc1n[nH]c2cnc(-c3cncc(OCC(N)Cc4ccccc4C(F)(F)F)c3)cc12,0.7538
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCC2c2ccncc2)c(Cl)cc1F,0.7143
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccncc2)s1,0.8525
NC(Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncncc2Br)CC1,0.7143
CN(C)CCn1cc(-c2ccncc2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,0.7534
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c(-c3cncc(Cl)c3)cccc21,0.8088
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)nc1,0.8154
Cn1c(CC(=O)Nc2cc(F)cc(Br)c2)nc(N2CCOCC2)cc1=O,0.7258
Cn1c(CC(=O)Nc2ccc(Br)c(F)c2F)nc(N2CCOCC2)cc1=O,0.7143
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cccc(Cl)c3)cn2CCN2CCC2)CC1,0.9697
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)NC(=O)Nc1c(F)cccc1F,0.7097
COc1ccccc1C(=O)NCC1(N)CCN(c2ncnc3[nH]cc(C)c23)C1,0.7879
O=C(NC(c1cccc(Cl)c1)C1CCNCC1)c1ccncc1,0.75
NC1(c2ccc(-c3nc4n(c3-c3ccccn3)COc3ccccc3-4)cc2)CCC1,0.7679
Cn1cc(-c2cnc3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nn23)cn1,0.7759
Cn1cc(N2CCOCC2)nc1CC(=O)N1CCc2c(F)cccc21,0.7541
Cc1nc(C(=O)NC2CNCCC2c2cccc(F)c2)cc(-c2c(Cl)cnn2C)n1,0.7083
Cc1cc(C(N)=O)cn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,1
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccnc(F)c3-4)cc2)CC1,0.7167
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccnn2C)c(F)c1,0.8
NC1(c2ccc(-n3c(-c4ccccc4)nc4cccnc43)cc2)CCC1,0.72
Cc1cc(Br)ncc1-c1ccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)cc1F,0.7
O=C(NC(c1ccc(Cl)c(F)c1)C1CCNCC1)c1cccnc1,0.7377
NC(=O)c1ccnn2c(-c3ccccc3)c(-c3ccccc3)nc12,0.7347
CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)c(Br)c(=O)[nH]1,1
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(N2CC(CO)C2)cn1,0.8421
CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)n1C,1
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)cn1,0.7619
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccccc3)cn2CCN2CCC2)CC1,0.7971
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cc(C(F)(F)F)cc(C(F)(F)F)c4)c3)cc12,1
Cc1c[nH]c2ncnc(N3CCC(N)(CNC(=O)c4ccccc4F)C3)c12,1
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1cccnc1,0.7288
O=C(NC1CNCCC1c1cccnc1)c1cc2c(s1)OCCn1nccc1-2,0.7714
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccoc2)s1,0.7846
NC(=O)CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccccc1Cl,0.7538
Cn1c(CC(=O)Nc2ccc(F)c(F)c2F)nc(N2CCOCC2)cc1=O,0.7097
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCC2c2cccc(F)c2)n[nH]1,0.7286
Cc1n[nH]c2ncc(-c3cncc(OCC(N)Cc4ccc(F)c(F)c4)c3)cc12,0.7031
O=C(Nc1csc(-c2nncn2C2CC2)n1)c1cc(-n2cnc(C3CC3)c2)c(C2CC2)cn1,0.7838
NC1(c2ccc(-c3nc4n(c3-c3ccncc3)COc3ccccc3-4)cc2)CC1,0.9216
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)cc2)cc1,0.8226
Cn1c(CC(=O)Nc2ccc(F)c(C3CCN(Cc4ccccn4)CC3)c2)nc(N2CCOCC2)cc1=O,0.7671
CC(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,0.7857
Cn1c(CC(=O)N2CCc3ccc(F)cc32)nc(N2CCOCC2)cc1=O,0.7966
O=C(NC(c1ccccc1)c1ccccc1)c1ccc(-c2ccnc3[nH]ccc23)s1,0.7778
Cn1ncc(Cl)c1-c1cccc(C(=O)NC2CNCCC2c2ccccc2)c1,0.7164
Cn1c(CC(=O)Nc2ccc(Cl)cc2)nc(N2CCOCC2)cc1=O,0.7458
O=C(Cc1nc(N2CCCCCC2)cc(=O)[nH]1)N1CCc2c(OC(F)F)cccc21,0.8413
CCc1ccccc1NC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0.7049
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCCC2c2cncc(F)c2)oc1Cl,0.726
Cc1cc(-c2c(Cl)cnn2C)cc(C(=O)NC2CNCCC2c2cccc(F)c2)n1,0.7571
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2cccc(F)n2)s1,0.7465
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3cccc(F)c3)cn2CCN2CCC2)CC1,0.8056
CCc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4)c3)cc12,0.75
Cn1c(CC(=O)Nc2ccc(F)c(Br)c2F)nc(N2CCOCC2)cc1=O,0.7302
CN(C)CCn1cc(-c2cnoc2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,0.7013
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccnc4)c3)cc12,0.7705
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccnc(F)c3)cn2CCN2CCC2)CC1,0.8429
Cn1nccc1-c1ccc(Cl)c(C(=O)NC2CNCCC2c2cc(F)cc(Cl)c2)c1,0.8
Cn1c(CC(=O)N2CCc3c(-c4ccccn4)cccc32)nc(N2CCOCC2)cc1=O,0.7313
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1F,0.8393
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2cc(F)cc(F)c2)nc1C1CC1,0.7059
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1Br,0.8393
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(OC(F)(F)F)c4)c3)cc12,1
O=C(Cc1nc(N2CCOCC2)cc(=O)n1CC1CC1)N1CCc2ccccc21,0.7258
NC(=O)c1cccc2c(NC(CN3CCC3)c3ccc(F)cc3)ncnc12,1
NC1(c2ccc(-c3nc4ccccn4c3-c3ccccc3)cc2)CCC1,0.7347
Cn1c(CC(=O)Nc2ccc(F)c(C3CC3)c2)nc(N2CCCCC2)cc1=O,0.8361
NCC(NC(=O)c1ccc(-c2cnccc2F)cc1)c1ccccc1,0.7083
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)c(Cl)c1,0.8065
CCc1ccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)cc1,0.7049
Cn1c(CC(=O)N2CCc3c(-c4ccc(CO)cc4)cccc32)nc(N2CCOCC2)cc1=O,0.7424
Cc1c(Cl)cc(C(=O)NC2CNCCC2c2cccc(F)c2)cc1-c1c(Cl)cnn1C,0.7681
Cn1ccc(-c2cnc3cc(-c4ccccc4)c(-c4ccc(C5(N)CCC5)cc4)nn23)c1,0.7627
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ccccc3-4)cc2)CCC1,1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccc(F)c(C(F)(F)F)c3)cn2CCN2CCC2)CC1,1
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccccc4F)c3)cc12,0.8793
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)NC(=O)Nc1ccc(F)cc1F,0.8596
CCn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C(N)=O)CC1,0.8696
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2cccc(F)c2)c(F)c1,0.8525
Cn1nccc1-c1cc(C(=O)NC2CNCCC2c2ccc(F)cc2)oc1Cl,0.7015
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2cccc(Cl)c2)cn1,0.7727
O=C(NC(c1ccc(Cl)c(F)c1)C1CCNCC1)c1ccnnc1,0.7213
Cc1ccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)cc1C,0.7333
Cn1nccc1-c1cc(C(=O)NC2CNCCC2c2cccc(F)c2)no1,0.7463
Cc1cc(-c2cn(CCN(C)C)c(C3CCN(c4ncnc(N)c4C)CC3)n2)ccc1F,0.8382
Cn1ncc(Cl)c1-c1cc(C(=O)NC2CNCCC2c2ccccc2)c(Cl)cc1F,0.7246
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)o1,0.8281
NCC(NC(=O)c1ccc(-c2cncnc2)cc1)c1ccccc1,0.7674
CC(C)C(=O)Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,0.7458
Cn1ncc(Cl)c1-c1cc(Cl)nc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)c1,0.791
Nc1ncnc(N2CCC(c3nc(-c4cccnc4)cn3CCN3CCC3)CC2)c1Br,0.7286
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)cc1,0.8065
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)cc2)cn1,0.8226
Cn1nccc1-c1cc(C(=O)NC2CNCCC2c2ccccc2)ccc1F,0.7385
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccccc1C(F)(F)F,0.8475
Cc1ccc(F)cc1CNC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,0.7143
CNCC(Nc1ncnc2c(C(N)=O)ccnc12)c1ccc(F)c(Br)c1,1
Cc1ccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c1,0.7647
NCC(NC(=O)c1ccc(-c2cn[nH]c2-c2ccncc2)cc1)c1ccccc1,0.72
CC1(O)CC(N)(c2ccc(-c3nc4n(c3-c3ccoc3)COc3cccnc3-4)cc2)C1,0.8065
NC1(c2ccc(-c3nc4n(c3-c3ccccc3)COc3ncccc3-4)cc2)CCC1,1
CNC(=O)c1cccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,0.7931
Cn1nc(-c2c(Cl)cnn2C)cc1C(=O)NC1CNCCC1c1ccc(F)c(F)c1,0.7353
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)NCc1cccc(Cl)c1,0.7333
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2ccc(F)nc2)cc1,0.7619
c1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1,0.7
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)NCc1ccc(F)cc1F,0.7333
COc1cccc(C(=O)Nc2ccc(-c3nnc4n3-c3cccnc3Nc3ccccc3-4)cc2)c1,0.7778
O=C(NC(c1ccc(Cl)c(Cl)c1)C1CCNCC1)c1cncnc1,0.7143
Cn1ncc(Cl)c1-c1cc(F)c(C(=O)NC2CNCCC2c2ccccc2F)c(F)c1,0.7576
Cn1c(CC(=O)Nc2ccccc2)nc(N2CCOCC2)cc1=O,0.7119
Cc1nccn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc12,0.7308
O=C(NC1CNCCC1c1ccc(Cl)cc1)c1ccc(-c2ccncc2)o1,0.7458
Cn1c(CC(=O)Nc2cccc(Cl)c2)nc(N2CCOCC2)cc1=O,0.7097
Cn1ncc(Br)c1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)s1,0.8154
NC1(c2ccc(-c3nc4n(c3-c3ccsc3)COc3ccncc3-4)cc2)CCC1,0.7833
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccccn3)cn2CCN2CCC2)CC1,0.7361
CC(=O)c1ccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)cc1,0.7049
Cn1c(CC(=O)N2CCc3ccccc32)nc(N2CCOCC2)cc1=O,1
NC(=O)c1c(N)ncnc1N1CCC(c2nc(-c3ccco3)cn2CCN2CCC2)CC1,0.7162
NC(=O)c1ccnc2c(NC(CN3CCC3)c3cccc(F)c3)ccnc12,0.8
Cn1ncc(Br)c1-c1ccc(C(=O)NC2CNCCC2c2ccccc2)o1,0.8387
Cc1n[nH]c2ccc(-c3nnc(NCC(N)Cc4ccccc4)s3)cc12,1
Cn1c(CC(=O)N2CCc3c(-c4ccc(F)cn4)cccc32)nc(N2CCOCC2)cc1=O,0.7391
NC1(c2ccc(-c3c(-c4ccccc4)nc4cc(C(=O)O)ccn34)cc2)CCC1,0.7627
CCc1cnc(C(=O)Nc2csc(-c3nncn3C3CC3)n2)cc1-n1cnc(C2CC2)c1,0.7532
O=C(NC(Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ncnc3ccccc23)CC1)c1ccccc1,0.7167
Cn1c(CC(=O)Nc2ccc(F)c(Br)c2)nc(N2CCOCC2)cc1=O,1
CNC(=O)c1cc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)n2C)ccc1F,0.7619
CC(NC(=O)C1(N)CCN(c2ncnc3c2cnn3C)CC1)c1ccc(Cl)cc1,0.7031
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccccc1Cl,0.7667
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccncc1,0.8909
O=C(NC1CNCCC1c1ccccc1)c1ccc2c(c1)OCCn1nccc1-2,0.8125
O=C(NC(c1ccc(Cl)c(Cl)c1)C1CCNCC1)c1cccnc1,0.7241
Cn1c(CC(=O)N2CCc3c(F)cccc32)nc(N2CCOCC2)cc1=O,1
Cn1c(CC(=O)Nc2ccc(Cl)c(Cl)c2)nc(N2CCOCC2)cc1=O,0.7213
O=C(Nc1nc2ccc(-c3cnc(Cl)c(NS(=O)(=O)c4ccccc4F)c3)cc2s1)C1CC1,0.8182
Cn1c(CC(=O)Nc2ccc3c(c2)OCCO3)nc(N2CCOCC2)cc1=O,0.7097
Cc1c(N2CCOCC2)nc(CC(=O)N2c3cccc(F)c3CC2C)n1C,0.7273
O=C(NC(c1ccc(Cl)c(F)c1)C1CCNCC1)c1cncnc1,0.7288
Cn1c(CC(=O)N2CCc3c(-c4ccnc(F)c4)cccc32)nc(N2CCOCC2)cc1=O,0.7391
Cn1nccc1-c1cc(F)c(C(=O)NC2CNCCC2c2cccc(F)c2)cc1F,0.8254
CNCC(Nc1ncnc2c(C(N)=O)ccnc12)c1ccc(F)c(Cl)c1,0.8475
Cn1c(CC(=O)Nc2ccc(Br)cc2)nc(N2CCOCC2)cc1=O,0.7759
Cn1nccc1-c1ccc(C(=O)NC2CNCCC2c2cc(F)cc(Cl)c2)c(F)c1,0.8852
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1cccnc1,0.8596
O=C(NC1CNCCC1c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1,0.7
Cn1nc(-c2c(Cl)cnn2C)cc1C(=O)NC1CNCCC1c1cccc(F)c1,0.7391
COc1nn2c(-c3ccccc3)c(-c3ccc(C4(N)CCC4)cc3)nc2c(C)c1C,1
CC(=O)c1ccc2nc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)n2c1,1
Cn1ncc(Cl)c1-c1ccc(C(=O)NC2CNCCC2c2ccnc(C(F)(F)F)c2)s1,0.7397
Cn1nccc1-c1cc(C(=O)NC2CNCCC2c2ccccc2)oc1Cl,0.7538
Cn1c(CC(=O)N2CCc3ccc(Cl)cc32)nc(N2CCOCC2)cc1=O,0.7797
NC(COc1cncc(-c2cnc3c(c2)CC(=O)N3)c1)Cc1ccccc1,0.7188
NC(=O)c1ccc2c(c1)OCn1c-2nc(-c2ccc(C3(N)CC3)cc2)c1-c1ccccc1,0.8254
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccc(F)c(C(F)(F)F)c4)c3)cc12,1
Cn1c(CC(=O)N2CCc3ccccc3C2)nc(N2CCOCC2)cc1=O,0.7288
O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)Nc1ccc(Br)cc1,0.8
O=C(Nc1ccc(-c2nnc3n2-c2cccnc2Nc2ccccc2-3)cc1)c1ccc(Cl)cc1,0.8596
NC(=O)c1ccc(-c2cnc3cc(-c4ccccc4)c(-c4ccccc4)nn23)cc1,0.7736
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4ccc(F)c(F)c4)c3)cc12,0.8793
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)nccc21,0.7
